locationid,breweryid,countryisocode,name,locality,locationtypedisplay,latitude,longitude,streetaddress,phone,postalcode,region,status,website
C0zPjd,nLsoQ9,US,Main Brewery,Petaluma,Micro Brewery,38.272435,-122.662346,1280 North McDowell Boulevard,707 769-4495,94954,California,verified,http://www.lagunitas.com/
1eKpO5,yX6twV,US,Main Brewery,Ponderay,Micro Brewery,48.2980485,-116.5461322,1109 Fontaine drive,208-263-9222,83852,Idaho,verified,http://www.laughingdogbrewing.com/
jnSdDd,q6vJUK,US,Main Brewery,Longmont,Micro Brewery,40.1389968,-105.1227417,1800 Pike Rd,1-303-776-1914,80501,Colorado,verified,http://www.oskarblues.com/
IaQrxj,nHLlnK,US,Main Brewery,Chico,Micro Brewery,39.7246028,-121.8157154,1075 East 20th St,530-893-3520,95928,California,verified,http://www.sierranevada.com/
MfINpl,TMc6H2,US,Main Brewery,Atlanta,Micro Brewery,33.808102,-84.38119,195 Ottley Drive,404-691-2537,30324,Georgia,verified,http://www.sweetwaterbrew.com/
NbGMT2,DifSi4,US,Main Brewery,Westminster,Brewpub,42.5584168,-71.8707812,175 State Road East,978-874-9965,1473,Massachusetts,verified,http://www.wachusettbrew.com/
Syl46S,p1tFbP,US,Main Brewery,Nashville,Micro Brewery,36.1503749,-86.779494,701 8th Avenue South,857-998-2571,37203,Tennessee,verified,http://www.jackalopebrew.com/
kDDWiR,IImUD9,US,Main Brewery,Littleton,Micro Brewery,39.594287,-105.0246389,2990 Brewery Lane,303.803.1380,80120,Colorado,verified,http://www.breckbrew.com/farmhouse
UFie4f,941OaA,US,Main Brewery,Upland,Micro Brewery,34.1091852,-117.6909341,2120 Porterfield Way,909-579-0032,91786,California,verified,http://www.dalebrosbrewery.com/
dMbTUT,VEY3Xa,US,Main Brewery,Burlington,Brewpub,44.4596386,-73.2137346,716 Pine St,802-861-2999,5401,Vermont,verified,http://www.zerogravitybeer.com
bY0joH,uM2jeT,BE,Main Brewery,Ruddervoorde,Micro Brewery,51.10493,3.2213,De Leiteweg 8020 Ruddervoorde Belgium,+32 478 74 54 64,8020,,verified,http://www.deleite.be/
fKk5B1,4F7QA9,US,Main Brewpub,Portsmouth,Brewpub,43.0780069,-70.7575978,56 Market Street,1-603-431-1115,3801,New Hampshire,verified,http://www.portsmouthbrewery.com/
aMIEke,BznahA,US,Merrimack,Merrimack,Production Facility,42.8252547,-71.4861091,221 Daniel Webster Hwy,(603) 595-1202,3054,New Hampshire,verified,http://anheuser-busch.com/
awYZlE,AqEUBQ,US,New Holland Brewing,Holland,Micro Brewery,42.7900238,-86.1041945,66 East 8th Street,616-355-6422,49423,Michigan,verified,http://newhollandbrew.com/
Cg12u5,BznahA,US,Newark,Newark,Production Facility,40.7067437,-74.1736086,200 US Highway 1,(973) 645-7700,7114,New Jersey,verified,http://anheuser-busch.com/
TkDbDx,q6vJUK,US,Oskar Blues,Austin,Micro Brewery,30.3835422,-97.7142293,10420 Metric Blvd,(512) 243-7054,78758,Texas,verified,https://www.oskarblues.com/brewery/austin
qncYRx,AqEUBQ,US,"Production Campus, Sales & Marketing",Holland,Office,42.817486,-86.113203,684 Commerce Court,,49424,Michigan,verified,http://newhollandbrew.com/
vl6pMu,IImUD9,US,"The Ale House at Amato's,  Denver",Denver,Restaurant/Ale House,39.7586246,-105.0091788,2501 16th St,303-433-9734,80211,Colorado,verified,http://www.breckbrew.com/food/ale-house-amatos
JRO1DT,IImUD9,US,"The Ale House, Grand Junction",Grand Junction,Restaurant/Ale House,39.0907673,-108.5527476,2531 North 12th Street,970-242-7253,81501,Colorado,verified,http://www.breckbrew.com/food/the-ale-house-grand-junction
Db1S1w,AqEUBQ,US,The Knickerbocker,Grand Rapids,Restaurant/Ale House,42.9705881,-85.6797148,417 Bridge Street NW,1-616-345-5642,49504,Michigan,verified,http://newhollandbrew.com/theknickerbocker/
ozjr3W,BznahA,US,Williamsburg,Williamsburg,Production Facility,37.2381215,-76.652522,7801 Pocahontas Trail,(757) 253-3600,23185,Virginia,verified,http://anheuser-busch.com/
